"Load Name","PTID","Subzone","Zone"
"EAGLESVT_VS_MILLWOOD2",971871,"CON ED MILLWOOD","MILLWD"
"EAGLESVT_VS_MOHAWKVY",987871,"NMPC MOHAWK VLY","MHK VL"
"EAGLESVT_VS_MOHAWKVY2",965871,"NMPC MOHAWK VLY","MHK VL"
"EAGLESVT_VS_NORTH",985871,"NMPC NORTH","NORTH"
"EAGLESVT_VS_NORTH2",963871,"NMPC NORTH","NORTH"
"EAGLESVT_VS_NY-CITY",997871,"CON ED NY CITY","N.Y.C."
"EAGLESVT_VS_NY-CITY2",975871,"CON ED NY CITY","N.Y.C."
"EAGLESVT_VS_WEST",979871,"NMPC WEST","WEST"
"EAGLESVT_VS_WEST2",957871,"NMPC WEST","WEST"
"EASLLC_LI_LONG-ISL",211458,"LIPA LONG ISLAND","LONGIL"
"EASTCPG_CE_DUNWOODI",109745,"CON ED DUNWOODIE","DUNWOD"
"EASTCPG_CE_MILLWOOD",108745,"CON ED MILLWOOD","MILLWD"
"EASTCPG_CE_NY-CITY",110745,"CON ED NY CITY","N.Y.C."
"EASTCPG_CH_HUDSONVY",507745,"CENT HUD HUDSON VLY","HUD VL"
"EASTCPG_CH_MOHAWKVY",505745,"CENT HUD MOHAWK VLY","MHK VL"
"EASTCPG_LI_LONG-ISL",211745,"LIPA LONG ISLAND","LONGIL"
"EASTCPG_NM_CAPITAL",306745,"NMPC CAPITAL","CAPITL"
"EASTCPG_NM_CENTRAL",303745,"NMPC CENTRAL","CENTRL"
"EASTCPG_NM_GENESEE",302745,"NMPC GENESEE","GENESE"
"EASTCPG_NM_MOHAWKVY",305745,"NMPC MOHAWK VLY","MHK VL"
"EASTCPG_NM_NORTH",304745,"NMPC NORTH","NORTH"
"EASTCPG_NM_WEST",301745,"NMPC WEST","WEST"
"EASTCPG_OR_HUDSONVY",607745,"O&R HUDSON VLY","HUD VL"
"ECESISVT_VL_CAPITAL",988946,"NMPC CAPITAL","CAPITL"
"ECESISVT_VL_CAPITAL2",966946,"NMPC CAPITAL","CAPITL"
"ECESISVT_VL_CAPITAL3",944946,"NMPC CAPITAL","CAPITL"
"ECESISVT_VL_CENTRAL",982946,"NMPC CENTRAL","CENTRL"
"ECESISVT_VL_CENTRAL2",960946,"NMPC CENTRAL","CENTRL"
"ECESISVT_VL_CENTRAL3",938946,"NMPC CENTRAL","CENTRL"
